"Data Source","World Development Indicators",

"Last Updated Date","2017-12-22",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","Mobile cellular subscriptions (per 100 people)","IT.CEL.SETS.P2","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.029310471","","","2.138784453","3.605985937","3.98141538","6.16435217","13.48254011","16.50927821","57.05427692","65.05605558","72.10431377","99.64250268","103.3849507","108.1325002","112.2180618","119.2038996","126.2103374","129.72824","","131.8565401","134.873823","135.0658893","135.72178","","",
"Afghanistan","AFG","Mobile cellular subscriptions (per 100 people)","IT.CEL.SETS.P2","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.112598381","0.865196277","2.498055472","4.826865367","9.833164022","17.71624331","29.22037376","37.89493697","35.97403913","47.40646435","51.43454705","55.01222617","58.84547053","61.57768158","66.00374446","",
"Angola","AGO","Mobile cellular subscriptions (per 100 people)","IT.CEL.SETS.P2","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.009672748","0.015532086","0.016472597","0.026485822","0.055130843","0.07474762","0.177638088","0.185322296","0.521366177","0.940444726","2.269621281","4.63174063","9.738161173","17.83989624","28.01098233","36.98368954","42.84657348","48.10120904","59.82618856","61.40627578","61.87329711","63.4792082","60.84389581","55.27564687","",
"Albania","ALB","Mobile cellular subscriptions (per 100 people)","IT.CEL.SETS.P2","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.068840778","0.099059921","0.168397958","0.331772024","0.901406013","11.94887288","26.07553141","33.95706284","39.16395669","47.87802749","60.06734238","73.35038415","58.91235149","78.1845877","85.468247","98.29153459","110.6865316","116.1572081","105.4699657","106.3802068","105.0623124","",
"Andorra","AND","Mobile cellular subscriptions (per 100 people)","IT.CEL.SETS.P2","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.307211734","1.278625641","1.250259142","4.424155104","8.538444783","13.44671556","22.12730607","32.14530928","35.99902139","43.27794118","45.77115817","68.60251444","73.82494308","79.48487497","84.27763597","78.1171579","80.2836099","82.06181111","84.06818386","83.53432222","81.50204186","80.70261809","82.64319489","88.12353305","87.18973316","",
"Arab World","ARB","Mobile cellular subscriptions (per 100 people)","IT.CEL.SETS.P2","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0.00136552307025226","0.00203251526047758","0.00274058916472483","0.00448781030140169","0.0113801091370445","0.0173610847155053","0.0197668054468759","0.0287276516855924","0.0388256338587791","0.056061865741312","0.0635700870559928","0.0812980040574971","0.105012026847911","0.197623255257601","0.355462105128601","0.611174873279551","0.935105894797098","1.49095141523883","3.1784959291219","5.74661080306402","8.52664458465588","11.5963824821728","16.8376943652289","26.7900399551369","38.8456720430127","52.5371804048541","62.9209688127463","76.1563666157067","87.6288181161223","98.8733138880905","105.037174593871","110.012610311775","109.920673943088","108.936173389235","106.771720846934","",
"United Arab Emirates","ARE","Mobile cellular subscriptions (per 100 people)","IT.CEL.SETS.P2","","","","","","","","","","","","","","","","","","","","","","","0.201598076","0.29324162","0.386440147","0.588175039","0.784279372","0.905137187","0.859014274","1.461321492","1.858734413","2.254085688","2.430181766","3.327734151","4.098632759","5.496642593","7.844957726","11.85794673","17.91459445","28.76186046","47.18932233","60.95911885","75.31310009","88.21926159","100.6685238","109.2858728","113.2014286","133.3628641","137.6413795","138.2668687","129.4316308","131.3980376","149.6390858","171.8737993","178.0615447","187.3480233","204.0205231","",
"Argentina","ARG","Mobile cellular subscriptions (per 100 people)","IT.CEL.SETS.P2","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.007149428","0.036781751","0.075585347","0.138988317","0.329780857","0.701068622","1.163818921","1.891500329","5.62910957","7.396595596","10.54064245","17.58105905","18.08742442","17.4519491","20.6535373","35.27228837","57.32899426","80.81882641","102.7215283","117.2211834","131.1294492","141.383022","149.0906224","156.564756","162.5274217","146.4823886","146.7017843","150.6656849","",
"Armenia","ARM","Mobile cellular subscriptions (per 100 people)","IT.CEL.SETS.P2","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.009453508","0.15935483","0.251561377","0.263783931","0.568447429","0.833474947","2.341613166","3.767384533","6.719510373","10.54901346","41.95135986","62.7586975","48.43008603","73.83377008","130.4322327","108.336201","111.9146632","112.4206552","115.9232102","115.8898894","114.7796321","",
"American Samoa","ASM","Mobile cellular subscriptions (per 100 people)","IT.CEL.SETS.P2","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0","1.411375688","1.774273041","2.316289305","2.364110905","2.410710974","2.548141677","2.683411152","3.170800451","3.463022843","3.7059956","3.466771101","3.552277687","3.796699403","","","","","","","","","","","","","",
